Ad title,Keywords
senior cdn specialist,network|linux|python|senior-cdn|docker
service administration specialist,script-writing|linux|microsoft-sql-server|exchange-server|windows
data engineer,pipeline|python|software-development|java|software-engineering
network engineer,industry-experience|networking-protocols|network-analytics|cisco-routers|network-diagnostic
python developer,cloud-infrastructures|django|python|nameko|software-development
cloud engineer,kafka|rabbit-mq|linux|openstack|cloud-computing|ceph
technical support team lead,management|motivate|leadership|technical-support|computer-science
project management specialist,project-management|management|analysing|leadership
linux system engineer (devops team),linux|my-sql|python|php|openstack|lemp
senior product analyst,it|industrial-engineering|system-analysis|data-analysing|business-analysis|computer-science
business intelligence developer,microsoft-excel|microsoft-access|sql|database-administration|t-sql
employer branding specialist,twitter|instagram|computer-engineer|industrial-engineering|linkedin|mba
asp.net-full-stack-developer,css|asp.net|microsoft-sql-server|java-script|c#|html
 node-js programming-team-manager,mongo-db|nosql|my-sql|micro-service|elastic-search|react.js|redis
programmer,css|asp.net|microsoft-sql-server|java-script|bootstrap
 back-end developer,configuration-management|django|rest-full-api|nosql|my-sql|elastic-search|sql|deploy
delphi developer,my-sql-server|delphi|crystal-report|fast-report|quick-report|t-sql
c# developer,windows-application-programming|my-sql|c#|multi-thread-programming|microsoft-visual-studio
site-backup,it|email|microsoft-word|microsoft-excel|social-media
php developer,visual-basic|css|java-script|php|microsoft-visual-studio|html|t-sql
full-stack developer,vue.js|rest-full-api|my-sql|java-script|angular|bootstrap|php|git|react.js
front-end developer,nebular|material-ui|web|jquery|rest-full-api|type-script|service-web|knockout|bootstrap|angular
.net developer,entity-framework|web-api|front-end|asp.net|c#|git
ios/android developer,ios|android|appstore|android-studio|java
front-end developer,designing|web|ui|jquery|css|ux|asp.net|responsive-design|mvc|html
web developer,entity|asp.net|controller|c#|core|mvc
Hiring software for software,iis|sql|c#|server
android developer,designing|ui|studio|rest-full-api|ux|android|design-pattern|git|java
data scientist,mongo-db|designing|couchdb|django|postgre-sql|nosql|design-pattern|cassandra|sqlÃÂÃÂÃÂÃÂbased
front-end developer,vue.js|designing|ui|css|rest-full-api|ux|java-script|bootstrap|responsive-design|http|react.js|html
senior Software Engineer,mongo-db|designing|couchdb|django|go-lang|rest-full-api|postgre-sql|nosql|design-pattern|cassandra|nodejs|http
Product Designer.,sketch|ui|ux|prototyping|software-testing|illustrator|a&b-testing
QA Specialist.,rest-full-api|front-end|back-end|browser-compatibility|postman
ui/ux designer ,page|ui|ux|responsive-design|navigation
android developer,studio|rest-full-api|firebase|search-engine|picasso|sqlite|scrum|kanban|programming|eventbus|solid|mvc|java|kotlin|mvvm|mvp|git|refactoring|legacy|realm|android|reactive
ui/ux designer,sketch|figma|material-ui|designing|css|prototyping|userflow|photoshop|java-script|adobe-xd|illustrator|wireframing|storyboard|html|adobe
front-end developer,css|type|java-script|c#|script|react.js|java|html
front-end developer,unit|designing|rest-full-api|software-testing|firebase|design-pattern|dart|location|solid|git
front-end developer,designing|css|responsive-design|controller|version|java-script|scss|design-pattern|angular|git|mvc|uml|html
.net developer,entity|rest-full-api|async-programming|programming|nosql|asp.net|micro-service|orms|react.js|soa|core|scrum|sql|blazor|mvc|sass|agile
Unity developer,ecs|toolchain|design-pattern|json|devops|git
.net developer,entity|rest-full-api|linq|domain|agile|unit|designing|asp.net|c#|server|docker|driven|micro-service|core|git|database|software-testing|design-pattern|json|sql
Recruiting programmer with FLOTES FLOTES,dart|ios|java|sql
Hire analyst and programmer T-SQL,qlikview|ssrs|tuning|query|power|bi|performance|ssis|tsql|sass
Software Test Specialist,agile|scrum|issue|tracking
front-end developer,vuex|vue.js|laravel|rest-full-api|creativity|vuetify.js|pwa|spa
expert test,wireshark|tshark|iptable|vpn
.net developer,mvc|asp.net|core|c#
c# developer,mvc|sql|english|winform
back-end developer,entity-framework|object-oriented|mvc|solid-design|data-structure|asp.net|design-pattern|c#|scrum|linq|team-foundations|microsoft-visual-studio
mobile developer,object-oriented-programing|ui|flash-builder|intellij-idea|java-script|xml|sql|mvc
front-end developer,css|jquery|type-script|java-script|html
business intelligence developer,system-analysis|stimul-report|sql|microsoft|t-sql
senior developer,java-script|object-oriented-programming|scrum|linq|microsoft-visual-studio|css|jquery|programming|asp.net|c#|stimul-report|mvc|entity-framework|type-script|solid-design|data-structure|design-pattern|sql|html
full-stack developer,css|jquery|wordpress|my-sql|design-pattern|seo|java-script|network-security|php|mvc|html
process analyst and documentarian,microsoft-word|microsoft-excel|iis|organizational-integrity|powerpoint
content production expert,internet|microsoft-word|photoshop|search-engine|social-network|powerpoint
wordpress developer,web-programming|css|jquery|wordpress|seo|html
Senior Software developer,concurrency|rest-full-api|code-review|nosql|data-structure|ci|socket-programming|git|software-testing|kiss|yagni|software-development|sql|http|dry|software-architecture|java|object-oriented-programming
back-end developer,java-spring|linux|my-sql|web-crawler|regular-expressions
java developer,object-oriented-programing|rest-full-api|oracle|my-sql|micro-service|design-pattern|hibernate|java-spring|git|redis|java
back-end developer,mongo-db|maven|concurrency|socket-programming|test-driven-development|j2ee|couchbase|postgre-sql|nosql|elastic-search|mqtt|java-spring|mvc|ioc|java|my-sql|multi-thread-programming|hibernate|software-development|git|web-application|aop|redis|jpa
java developer,spring-mvc|rest-full-api|xml|json|java-spring|soap
back-end developer,java|hibernate|java-spring|git|jpa
java developer,linux|micro-service|python|unit-integration|devops|network+|java|database
java developer,maven|java-spring|design-pattern|java-script|hibernate|oracle|git|react.js|java
senior java developer,java-script|hibernate|java-spring|react.js|java
c++ developer,arp|ftp|tcp|ethernet|protocol-parser|udp|dns|c++|http|ip|c
python developer,rest-full-api|linux|ci|python|cd
back-end developer,go-lang|rest-full-api|postgre-sql|rdbms|my-sql|python|git|nodejs|scrum|php|vcs|web-service
front-end developer,nebular|jquery|web-api|type-script|knockout|bootstrap|angular|web-service
seo expert,on-page-seo|off-page-seo|wordpress|seo|link-building|internal-seo
seo expert,laravel|wordpress|web-design|seo|photoshop
java developer,mongo-db|scala|network+|database|java
programmer,rest-full-api|asp.net|c#|java-script|sql
web programmer,designing|object-oriented-programing|jquery|rest-full-api|my-sql|design-pattern|script|php|git|java
web designer,css|jquery|java-script|sql|html
developer,ux|ui|laravel|css|seo|java-script|php|git|mvc
senior python developer,web|css|rest-full-api|jquery|type-script|python|java-script|service-web|development|scrum|full-stack|bootstrap|angular|git|agile|html
software support expert,accounting|server|software|sql|database|support
laravel developer,vue.js|object-oriented-programing|css|laravel|jsrestful|php|html
 front-end developer,css|jquery|responsive-design|java-script|ajax|scss|bootstrap|angular|git|react.js|sass|html
full-stack developer,css|jquery|my-sql|java-script|bootstrap|php|html
java developer,jsp|agile|hibernate|git|jira|j2ee|java
senior java developer,principle|rest-full-api|stream|spring|designing|nosql|solid|soap|mvc|java|object-oriented-programing|micro-service|hibernate|oauth2|git|message|queuing|design-pattern|linux|sql
java developer,spring|cryptography|infrastructure|public|of|key|j2se|objectivism|hibernate|concepts|mvc|java
java developer,soap|spring|nosql|rest-full-api
front-end developer,vue.js|css|laravel|java-script|bootstrap|php
front-end developer,graphql|designing|ui|rest-full-api|third-party|java-script|react.js|responsive-design|git|pure|agile
seo content production expert,seo|photoshop
.net developer,vb.net|server|asp.net|sql
asp.net core developer,web-socket|rest-full-api|css|asp.net|controller|signalr|java-script|server|core|docker|sql|git|mvc|html
.net developer,object-oriented-programing|web|ui|designing|sql|back-end|asp.net|software-testing|design-pattern|service|server|responsive-design|git|mvc|refactoring|tdd
front-end developer,css|java-script|git|react.js|html
 it expert,designing|programming|digital|website|marketing
 it supervisor,hardware|network|software
 laravel developer,jquery|scss|bootstrap|git|html
wordpress developer,html|css|jquery|wordpress
seo expert,management|moz|google|map|tag
business intelligence developer,power|bi|data|point|share
business intelligence developer,rest-full-api|cqrs|asp.net|service|core|mvc
ui/ux designer,designing|ui|ux|photoshop|affect|after-effects
data analysis expert,analysing|microsoft-excel|data
website manager,website|analysing|seo|tools
 front-end developer,my-sql|java-script|ajax|php|react.js
programmer,css|jquery|java-script|ajax|html
it expert,network|microtik
network supporter,help-desk
back-end developer,php|yii|rest-full-api|sql
digital marketing expert,ads|google|seo
software supporter,server|erp|c#|sql
 asp.net full-stack developer,css|asp.net|java-script|server|core|sql
vue.js developer,sass|script|bootstrap|nuxt.js|java
 nodejs developer ,nosql|nodejs|script|git|java
 it engineer,management|network|microtik|routing|cisco
 asp.net developer,c#|ef|server|sql|mvc
front-end developer,designing|pwa|responsive-design|jira|html
software developer,telerik|web|rest-full-api|devexpress|microsoft-sql
android developer,high-learning-potential|android|creativity|php|team-working
python developer,microsoft-sql-server|python|java-script|soa|html
front-end developer,css|java-script|bootstrap|git|react.js|html
back-end developer,laravel|rest-full-api|php|git|team-working
react-native developer,android|ios|web-service|react-native|scrum|git
full-stack developer,css|wordpress|java-script|php|mvc|html
sql developer,it|etl|data-warehouse|sql|software-expert|database
c++ developer,html|css|java-script|c++
senior java developer,message-broker|kubernetes|nosql|micro-service|docker|sql|devops|agile
web developer,object-oriented-programing|asp.net|microsoft-sql-server|design-pattern|team-working
php developer,css|laravel|java-script|angular.js|bootstrap|php|git|html
software-backup expert,icdl|microsoft-word|microsoft-excel|microsoft-sql-server|erp|windows|oracle|microsoft-powerpoint|t-sql
front-end developer,vue.js|css|java-script|vuetify.js|less|sass|html
react native developer,object-oriented-programing|debugging|rest-full-api|firebase|design-pattern|java-script|react-native|library?|sqlite|git
full-stack developer,react-native|nodejs
back-end developer,redis|mango-db|rest-full-api|my-sql|design-pattern|yii|php|git|mvc|back-end-development
wordpress plugin writer,ui|jquery|ux|java-script|bootstrap|php|a&b-testing
back-end developer,mongo-db|object-oriented-programing|vue.js|css|jquery|rabbit-mq|nosql|design-pattern|php|git|html
digital marketing intern,graphic|seo|photoshop|wordpress
ios developer,keychain|object-oriented-programing|rest-full-api|ios|git|swiftui|swift|nib|animation|coredata|rxswift|avkit
front-end developer,css|responsive-design|ziplin|php|bootstrap|git|html
vue.js develper,vue.js|css|rest-full-api|java-script|json|nuxt.js|sass|spa|html
front-end developer,graphql|css|react-saga|type-script|nodejs|git
front-end developer,java-script|css|html|angular
senior react.js developer,rest-full-api|async-programming|thunk|es6|authentication|socket-programming|java-script|react-hook|git|routing|error-handling|react-redux
data analysis expert,nosql|my-sql|sql
full stack developer,mongo-db|pwa|nodejs|java-script
c# developer,linq|c#|ef|ddd|angular|mvw|object-oriented-programming
asp.net mvc developer,entity-framework|java-script|microsoft-sql-server|jquery
net core. Developer,css|rest-full-api|web-api|rdbms|nosql|asp.net|c#|java-script|html
full stack developer,soap-rest|object-oriented-programing|css|jquery|asp.net|microsoft-sql-server|c#|core|mvc|html
php developer,web-service-api|laravel|php|git|mvc
Senior wordpress template designer and programmer,ux|ui|jquery|front-end|css|responsive-design|my-sql|seo|java-script|maria-db|php|html
front end developer,css|jquery|ux|photoshop|java-script|bootstrap|html
web developer intern,java-script|english|css|html
back end developer,object-oriented-programing|interface
front-end developer,mvc|asp.net|angular
informatics expert,vmware|hp|ccna|voip
it expert,active-directory|vmware|dns|ccna|dhcp
crm software admin,css|microsoft-excel|c#|crm|sql|html
arm microcontroller programer ,arm|lpc|stm|altium-designer
full-stack developer,css|jquery|microsoft-sql-server|java-script|c#|bootstrap|angular|react.js|html
front-end developer,css|type-script|microsoft-sql-server|angular|html
php developer,my-sql|laravel|php
senior bpms,bpms|my-sql|java-script|php
back-end developer,mongo-db|laravel|my-sql|linux|nodejs|php|git|express.js
front-end developer,vue.js|material-ui|css|java-script|bootstrap|angular|react.js|html
back-end developer,back-end|my-sql|nodejs|php|redis
front-end developer,angular
back-end developer,css|front-end|java-script|scss|less|html
Network expert,network|microsoft-office
full-stack-asp.net-developer,css|asp.net|microsoft-sql-server|java-script|ef
seo expert,search-console|on-page-seo|off-page-seo|trend|analysing|internal-seo|link-building|tag-manager
C # programmer,object-oriented-programing|designing|asp.net|design-pattern|microsoft-sql|core|git
C # programmer,studio|android|c#|java-script|sql|html
front-end developer,nebular|material-ui|jquery|type-script|knockout|bootstrap|angular
Java programmer,spring|orm|css|java-script|java-spring|java|html
front-end developer,java-script|scss|bootstrap|angular|react.js|html
SWIFT programmer,swift|xcode
Employee of IT.,network|windows
front-end developer,css|type-script|java-script|react.js|sass|html
Web designer,css|photoshop|java-script|php|html
network developer,network|mcse
Computer expert (Help desk),help|desk|icdl
ASP.NET Developer,entity|web|rest-full-api|asp.net|c#
React Native Programmer,object-oriented-programing|designing|design-pattern|java-script|react.js
VUE programmer.JS.,java-script|adonis.js|sass|bootstrap|nuxt.js
Expert Technical Support Software,vsphere|vmware|linux|horizon
web developer,network|php
data analyst,python|ux
front-end developer,react.js|html|css|java-script
ios developer,swift|cocoa|ui|ux
software engineer,git|linux|python
ux designer,ux
devops engineer,tcp|rkt|lxc|dns|docker|http|ip
data scientist,kubernetes|nlp|vision|speech|docker
software engineer,git|unix|linux|python
system administrator,rest-full-api|bash|python|sql|web-service
data software engineer ,go-lang|python|scala|sql|java
.net developer,mvc|asp.net|c#|sql
back-end developer,back-end|git|sql
.net developer,object-oriented-programing|rest-full-api|back-end|asp.net|microsoft-sql-server
front-end developer,front-end|java-script|pwa|git|nuxt.js|spa
front-end developer,css|laravel|java-script|php|html
senior front-end developer ,ngrx|ui|ux|java-script|angular|sass
network,network+|microtik
sales and marketing expert,marketing|advertising|content-production|business-services
web developer,programming|gps|web
android developer,material-ui|designing|ui|rest-full-api|ux|volley|jvolleyava
front-end developer,material-ui|designing|ui|ux|css|java-script|bootstrap|html
developer back-end Laravel,object-oriented-programing|laravel|rest-full-api|my-sql|mvc
Flutter developer,ui|rest-full-api|ux|dart|flutter|material-design|git
linux specialist,package-management|configuration-management|lpic|shell-script
senior c# developer,cqrs|asp.net|design-pattern|c#|solid|mvc|object-oriented-programming
software analysis and design specialist,enterprise-architect|bpmn|bizagi|visio|uml
programmer,ios|android|python|angular
php programmer,git|laravel|rest-full-api|php
graphic designer ,digital-marketing|graphic-designer
content production,seo|content-production
content Production,management
programmer,programming|back-end|front-end
software expert,expert|software
Web programmer,html|jquery|css|java-script
Web designer,clustering|docker|postgre-sql
The developer of Java,my-sql|java
IOS programmer,ios|react.js|xcode
ASP programmer.NET MVC.,asp.net|c#|java-script|jquery
C # programmer,side|asp.net|java-script|c#|framework|html
Web programmer,service|rest-full-api|php
Android programmer,android
.net developer,asp.net
Mobile Developer (Flutter / React Native),flutter|git|react.js|java-script
Designer UI / UX,css|photoshop|script|adobe-xd|svg|after-effects|effects|illustrator|java|html|adobe
NET programmer.,server|asp.net|c#|sql
react-js-developer,css|rest-full-api|java-script|pwa|react.js|html
full-stack-laravel-developer,css|my-sql|design-pattern|java-script|bootstrap|php|git|sass|html
junior-web-developer,microsoft-sql-server|c#
advanced-web-developer,css|rest-full-api|enzyme|es6|jest|java-script|html
back-end-developer,my-sql|php
front-end-developer,css|jquery|ajax|java-script|bootstrap|html
senior-programmer,front-end|back-end|asp.net|mcv|core|java
front-end-developer,nebular|jquery|type-script|knockout|bootstrap|angular
front-end-developer,vuex|vue.js|css|jquery|rest-full-api|es6|java-script|html
asp.net-developer,asp.net|microsoft-sql-server
full-stack-asp.net-developer,css|jquery|asp.net|c#|html
full-stack-php-developer,code-igniter|vue.js|css|laravel|my-sql|maria-db|java-script|php|html
full-stack-php-developer,wordpress|front-end|react-native|php|react.js
front-end-developer,jira|css|type-script|es6|git|java-script|object-oriented-programming|pwa|scrum|bitbucket|responsive-design|webpack|socket-io|react.js|react-redux|html
c#-programmer,asp.net|c#
node-js-developer,mongo-db|nest.js|object-oriented-programing|web-socket|rest-full-api|linux|java-script|nodejs|docker|git|mvc
front-end-developer,css|ux|jquery|java-script|angular|php
java-script-developer,java-script
PHP programmer,my-sql|scrum|php|git|agile
WordPress programmer,bootstrap|css|html|php
Programmer # c,object-oriented-programing|web-form|scrum|git|dapper
PHP programmer,object-oriented-programing|designing|laravel|rest-full-api|my-sql|php|git|mvc
Ios senior programmer,ios|swift|xcode|rest-full-api
Java's senior programmer) full-stack,designing|object-oriented-programing|ood|design-pattern|full-stack|java
FRONT - END,css|jquery|front-end|java-script|html
Front - END,react.js|es6|css|java-script
FRONT - END,front-end|git|angular
wordpress developer,css|wordpress|bootstrap|php|html
Programmer FULL - STACK,asp.net|full-stack|c#|core
C # programmer.Net.,asp.net|java-script|c#|angular.js
IOS programmer,swiftui|ios|swift
NET programmer.,jquery|asp.net|c#|angular.js|server|sql|mvc
Artificial intelligence programmer,ai|python
front-end developer,vuex|vue.js|ux|front-end|java-script|webpack
Windows programmer,object-oriented-programing|c#|server|wpf|windows|sql|form
Programmer FULL - STACK,react.js|nodejs|full-stack
back-end developer,cqrs|back-end|asp.net|c#|server|microsoft-sql|tsql
senior front-end developer,vue.js|designing|css|front-end|java-script|responsive-design|html
Programmer # c,css|java-script|c#|sql|html
Web Programmer (# C),object-oriented-programing|asp.net|java-script|c#|server|sql|mvc|html
front-end developer,front-end|html|css|jquery
back-end developer,object-oriented-programing|back-end|java-script|git|java|kotlin
back-end developer,rest-full-api|mvc|back-end|asp.net|c#|java-script|core|blazor|react.js|orms
database-designer(oracle),data-migration|nosql|cassandra|oracle|database
senior .net developer,message-broker|rabbit-mq|code-review|swagger|nosql
data-engineer,relational-database|cassandra|data-science|neo4j|git
laravel-programmer,linux|my-sql|seo|php|responsive-design|git
front-end developer,python|npm|php|webpack|restcss3
sales and marketing expert,sale|telephone-sales|crm|marketing|negotiation-skills
seo-expert,wordpress|google-analytics|keyword-analyzing|seo|google-trends|link-building
crm and guarantee expert,icdl|sale|sale-meeting|crm|negotiation-skills
web-design expert,wordpress|cpanel|seo|java-script|pelesk|team-working
accounting-expert,communication-skill|sepidar-system|industrial-accounting|accounting|public-relation
senior electronic expert,electronic-design|smd|hal|microcontroller|team-working
python-programmer,postjis|django|css|my-sql|python|html
it-specialist,passive-network|iis|kerio|photoshop|crm|wsus|active-network
back-end developer,rest-full-api|back-end|nosql|python|design-pattern
javascript-programmer,express.js|nodejs|es5|java-script
c#-programmer,game-engine|game-developer|c#|unity|java
senior machine-learning engineer,ai|nlp|data-science|machine-learning|scikit-learn
c#-programmer,css|asp.net|c#|angular.js|angular|html
machine-learning specialist,pytorch|ai|tensor-flow|linux|image-processing|git|deep-learning|agile|object-oriented-programming
machine-learning and ai engineer,ai|chatbot|python|data-science|deep-learning
machine-learning expert,web|scrum|rest-full-api
cto,object-oriented-programing|css|seo|virtual-box|distributed-system|react-native|vagrant|docker|devops|html
software-support expert,css|jwt|wordpress|php|team-working
graphist and ui ux designer,ux|ui|css|userflow|photoshop|graphic-design|wireframing
front-end developer,pms|java-script|crs|responsive-design|react.js|comonent-based-architecture
it-expert,wordpress|cctv|network-security|microsoft-services|mcse
ASP programmer.Net Core.,entity|asp.net|c#|server|core|sql|t-sql
Artificial Intelligence Expert (Data Mining - Machine Learning),studio|python|c#|visual|microsoft|t-sql
front-end developer,ux|ui|css|java-script|semantic-ui|react.js|html
NET programmer.,asp.net|database
Java programmer,core|java|database
Programmer and Web Developer,git|my-sql|scrum|php
Image processing expert (AI),opencv|python
software support expert,server|sql
FRONT - END,side|css|server|angular|git|rendering|html
Java developer,spring|git|jira|database|java-core
sales expert,negotiation-skills|techniques|sales|marketing
database expert,principle|t-sql|database|sql
back-end developer,laravel|rest-full-api|back-end|my-sql|git
full-stack developer,css|jquery|full-stack|php|mvc|html
senior python developer,django|drf|mvc|python
web developer,css|jquery|asp.net|c#|web-development
ios developer,ios|swift|xcode
network expert,diagnosis|voip|hardware|network
social media expert,media|social|microsoft-office|photoshop|microsoft
sales expert,microsoft-office|sales|marketing|microsoft|techniques|negotiation-skills
front-end developer,front-end|react.js|java-script
Senior .Net Developer,web|rest-full-api|asp.net|microsoft-sql-server|c#|core
Recruitment of SEO Specialist (Durkari),google-webmaster-tools|google-analytics|microsoft-office|seo
ui ux designer,sketch|ui|ux|photoshop|adobe-xd|illustrator
ui ux designer,ui|adobe-xfdfigma|ux|prototyping|wireframing
flutter developer,flutter|git|dart
react native developer,front-end|es6|java-script|git|react.js
Recruiting Data Analyst and Reporting Specialist,reporting|microsoft-office|data-analysing
machine-learning expert,pytorch|ai|tensor-flow|python|machine-learning
laravel developer,html|css|laravel
wordpress developer,css|jquery|wordpress|web-design|bootstrap|php|html
 ux researcher,ux|creation|journeys|research|persona
ai expert,matlab|ai|python
system analyst,analysing|implementation|system|configuration-management
senior back-end developer,rest-full-api|back-end|microsoft-sql-server|nodejs|php|http
flutter-senior-programmer,vue.js|java-script|flutter|pwa|dart|git|html
c#-senior-developer,entity-framework|asp.net|microsoft-sql-server|c#|microsoft-visual-studio|t-sql
go-developer,traefik|go-lang|web-socket|nsq|nosql|zap|raml|go-kit|jaeger|newsql|xmpp|gin|fx|http
android-developer,rxjava|android-sdk|android-os|data-structure|algorithm|java|kotlin
front-end-developer,vue.js|web-socket|fetch-api|jquery|css|three.js|java-script|strophe.js|rxjs|webrtc|bootstrap|webpack|react.js|d3.js|sass|html
devops-engineer,unix|xen|kvm|virtualization|bsd|qemu|linux|lxc|docker|openstack|cloud-computing
cto-senior-technical-director,go-lang|android-sdk|nosql|buby|data-structure|python|uikit|java-script|algorithm|swift|gin|sql|c|express.js|flask|java
ios-developer,bow|mac|ios|combine|uikit|swiftui|swift|gcd|c|rxswift
sales-and-marketing-manager,forecasting|foresight|marketing
ios-developer,ios|swift|ui|ux
android-developer,android|ui|ux|android-studio
data-scientist,apache-hadoop|ai|scylla-db|machine-learning|nosql|data-structure|algorithm|newsql|voltdb|r&julia|sql|spark|percona
business-intelligence-developer,it|data-warehouse|power-bi|sql
designer,indesign|illustrator|photoshop
android-developer,android-studio|java
c#-developer,winform|mvc|c#|sql
software-installation-and-support-expert,computer-science
back-end developer,mongo-db|graphql|object-oriented-programing|active-mq|rabbit-mq|postgre-sql|asp.net|micro-service|c#|identity-server|cassandra|microsoft-sql|docker|cosmos|git|redis
database-and-server-adminstrator,performance-tuning|rest-full-api|tsql
mobile-app-developer,rest-full-api|android|ios|ci|flutter|cd
network-and-cisco-expert,dcnm|unified-communication|prime|ise|switching|firewall|routing
it-expert,support|wordpress
devops-expert,kanban|postgre-sql|linux|shell-script|orchestration|docker|scrum|trello|jira|container|java
solidworks-programmer,solidworks
front-end-developer,context-api|git|react.js|responsive-design
php developer,wordpress|java-script|php
php developer,css|jquery|my-sql|php|html
back-end developer,postgre-sql|my-sql|linux|python|git
network expert (help desk),network+|cctv|microsoft-office
php developer,database|laravel|php
react-native developer fluent in restful api concepts,react-native|git|ui|ux
wordpress developer,social-network|seo|wordpress
wordpress developer,plugin|wordpress|seo|php
database developer,microsoft-sql|ssms|tsql
pl/sql developer,pl-sql|java-script
php developer,java|css|php
vue.js developer,ux|ui|rest-full-api|css|java-script|bootstrap|html
web designer,css|wordpress|seo|php|html
it expert,firewall|utm|mcse|ccna
web developer fluent in asp.net and c#,asp.net|c#|sql
.net developer,rest-full-api|asp.net|c#|sql|git|t-sql
web designer,css|wordpress|java-script|bootstrap|php|plugin|html
web designer fluent in wordpress and seo,css|wordpress|seo|photoshop|social-network|php|html
skills training expert,digital-marketing|microsoft-office|social-network|wordpress
web and database designer,database|wordpress
developer,mvc|asp.net|microsoft-sql-server|jquery
java-developer,tomcat|jdbc|various-db-server|develop-readable-code|mvc|team-working
programming-expert,rdbs|motivate|regular-hardworking|css|web-api|type-script|asp.net|crystal-report|microsoft-sql-server|c#|time-management|angular|html|team-working
full-stack web developer,working-active-environments|type-script|time-management|team-working
full-stack developer,problem-solving|team-working|ideation|creativity
asp.net developer,ethical|problem-solving|time-management|angular|database|team-working
front-end developer,interest|css|front-end|es6|java-script|nodejs|scrum|php|git|react.js|react-redux|html
software-tester,software-testing
react native developer,react-native|java-script|css|html
senior back-end developer,data-driven|relational-database|front-end|postgre-sql|rdbms|my-sql|handle|linux-system-administration|open-source
mobile-app developer,flutter
.net-developer,n-tier|object-oriented-programing|tfs|css|jquery|front-end|asp.net|software-testing|design-pattern|java-script|scrum|bootstrap|git|agile|html
front-end developer,vue.js|css|rest-full-api|seo|java-script|analytical-thinking|pwa|problem-solving|scrum|json|bootstrap|angular|react.js|html|team-working
unity-developer,game-play|rest-full-api|optimization|implement-effects|assetbundle|ngui|unity|database
back-end developer,web-api|design-pattern|sql
back-end developer,object-oriented-programing|designing|lumen|rest-full-api|laravel|jquery|unit-testing|ci|my-sql|micro-service|java-script|design-pattern|caching|soa|solid|cd
system-analyzer,extraction-processes|documenting|modeling|programming|problem-design|object-oriented-programming|development|analysing|problem-solving|multilayer-distributed-architecture|software-architecture|communication|application-software|database
python developer,django|drf|python|sql|virtualenv|mvc|mvt
front-end developer,type-script|bootstrap|angular.js
front-end developer,designing|ui|rest-full-api|css|web-application|java-script|object-oriented-programming|analysing|json|software-development|react.js|design-techniques|detail-oriented|html
software-analyst,bpmn|stock-market|programming|investment|financial|problem-solving|rup|english|strong-planning|sql|time-management|uml|manage-competing-priorities|multi-tasking|team-working
it-service-desk,communication-skill|problem-analyze|network-infrastructure|itil|microsoft-sql-server|problem-solving|troubleshooting|t-sql
operation-expert,automation|continuous-integration|continuous-learning|documenting|prometheus|kubernetes|alert-manager|linux|ci|development|docker|elk|self-motivated|cd|technically-curious
full-stack developer,css|asp.net|c#|angular.js|mvc|html|t-sql
network master,network-administration
android developer,android|java|kotlin|rest-full-api
software analyst,erp|sql
front-end developer,front-end
"asp-net mvc Developer
",development|mvc|asp.net
programmer,programming|wordpress
software expert,software-support
"mobile application developer
",development|android
c# programer,programming|c#
network expert,kvm|prometheus|bash|zabbix|ansible|python|nagios|vmware|ubuntu|ccna|grafana|proxmox
it network expert,it|network
programmer,programming
Wordpress developer,photoshop|wordpress
scrum master,scrum|master
front-end developer,react.js
back-end developer,rust
full-stack developer,full-stack
back-end developer,nodejs
back-end developer,back-end
seneior software-tester,qa|engineer
phthon developer,python
ui designer,adobe-xd|photoshop|adobe
expert in systems and methods,erp|bpms
network support expert,mcsa|voip|ccna|help-desk
network support expert,software|hardware
network support expert,cisco|microtik
web developer,css|jquery|rest-full-api|type-script|asp.net|java-script|bootstrap|mvc|html
web developer,asp.net|microsoft-sql-server|angular
PHP programmer,java|my-sql|script|php
 c  c++ developer,c|embedded-linux|linux|c++
java developer,spring|sql|git|java|object-oriented-programming
system administrator,java|python|php
DevOps sre,linux|python|devops|c|java
linux developer,c|qt|linux|c++
c++ developer,mfc|qt|c++
software developer,c++|back-end|c#|machine-learning|data-mining
c++ developer,c#|c++
system developer,object-oriented-programing|c++
c++ developer,c++
reactjs developer,react.js|css|html
c++ developer,c|linux|c++
devOps intern,devops|sre
java developer,maven|spring|j2ee|java
c++ developer,qt|my-sql|c++
react intern,ui|ux|bootstrap|react.js|html
ui-ux designer,ux|ui|css
DevOps,devops|load-balancing|docker
front-end,css|java-script|bootstrap|sass|flex
android developer,android|java|studio
FRONT - END programmer,css|git|controller|version|http|https|html
Recruiting developer (Front - End (React,react-redux|react.js|rest-full-api
Net Core FULL - STACK.,reactive|asp.net|c#|solid|tfc|react.js
React JS Front - End Developer,ui|css|rest-full-api|ux|bootstrap|http|html
React programmer.JS.,css|reduce|java-script|responsive-design|git|react.js
EMPTY TITLE,nosql|linux|php|sql
linux expert,cmake|qt|linux|c
java intern,jee|spring|java
pentester intern,metasploit|sans|owasp
web developer,asp.net|c#|css|html
c++ developer,c|embedded-linux|c++
full-stack developer,react.js|laravel|php
Front End Programmer,page|single|jquery|css|front-end|java-script|c#|mvc|html
Programmer # c,asp.net|core|junior|angular
Expert devoS.,nginx|postgre-sql|environment|cloud|zabbix|my-sql|linux|elastic-search|bash|apache|docker|script|git|redis|system-administrator
Android Developer,android|studio
